"pathway","source","size","FAC_vs_Cont:
p-value","FAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","FAC_vs_Cont:
Normalized enrichment score","LiproxposFAC_vs_Cont:
p-value","LiproxposFAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","LiproxposFAC_vs_Cont:
Normalized enrichment score","MTposFAC_vs_Cont:
p-value","MTposFAC_vs_Cont:
Benjamin-Hochberg adjusted p-value","MTposFAC_vs_Cont:
Normalized enrichment score"
"GOBP_REGULATION_OF_NUCLEAR_CELL_CYCLE_DNA_REPLICATION","GOBP",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEAR_DIVISION","GOBP",139,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY","GOBP",26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEASE_ACTIVITY","GOBP",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT","GOBP",104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_SIGNALING_PATHWAY","GOBP",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS","GOBP",42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS","GOBP",87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_ODONTOGENESIS","GOBP",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION","GOBP",40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OOCYTE_MATURATION","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OPSONIZATION","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_ORGAN_GROWTH","GOBP",101,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY","GOBP",226,0.04661354581673307,0.5000362187613183,1.306661746500171,0.4221399337361138,0.5683679762102937,1.0534326236040843,0.7053517739025857,0.8798256799207729,0.8652856049748384
"GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION","GOBP",1148,0.04661354581673307,0.5000362187613183,1.306661746500171,0.4221399337361138,0.5683679762102937,1.0534326236040843,0.7053517739025857,0.8798256799207729,0.8652856049748384
"GOBP_REGULATION_OF_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_ORGANIC_ACID_TRANSPORT","GOBP",70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OSSIFICATION","GOBP",117,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION","GOBP",135,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OSTEOBLAST_PROLIFERATION","GOBP",28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OSTEOCLAST_DEVELOPMENT","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION","GOBP",64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OVARIAN_FOLLICLE_DEVELOPMENT","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION","GOBP",24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH","GOBP",77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP",29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY","GOBP",106,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_P38MAPK_CASCADE","GOBP",48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PANCREATIC_JUICE_SECRETION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","GOBP",107,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PENILE_ERECTION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PEPTIDASE_ACTIVITY","GOBP",457,0.8468450479233227,0.889615931721195,0.7230376586087038,0.3407190635451505,0.5262414855802062,-1.1252606916135974,0.7029464822609741,0.8798256799207729,-0.8551321349637878
"GOBP_REGULATION_OF_PEPTIDE_TRANSPORT","GOBP",183,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PEPTIDYL_CYSTEINE_S_NITROSYLATION","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION","GOBP",71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION","GOBP",144,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION_OF_STAT_PROTEIN","GOBP",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION","GOBP",44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION","GOBP",261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PH","GOBP",93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHAGOCYTOSIS","GOBP",100,0.8594594594594595,0.889615931721195,-0.6979376025418781,0.7010348792640858,0.8475626614053496,0.8647886336588887,0.8703371234789548,0.897467272377043,0.6872585115111896
"GOBP_REGULATION_OF_PHENOTYPIC_SWITCHING","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHATASE_ACTIVITY","GOBP",84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHATE_TRANSPORT","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY","GOBP",57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING","GOBP",111,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_DEPHOSPHORYLATION","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY","GOBP",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY","GOBP",68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GOBP",5,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"GOBP_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVITY","GOBP",43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS","GOBP",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHOLIPID_CATABOLIC_PROCESS","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS","GOBP",37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHOLIPID_TRANSLOCATION","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHOLIPID_TRANSPORT","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY","GOBP",59,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","GOBP",1400,0.10902996845425868,0.8595684083689342,1.3394587194270762,0.83,0.8903636363636364,0.6932001693575027,0.901065755077418,0.904130604584484,0.6280628546302423
"GOBP_REGULATION_OF_PHOTORECEPTOR_CELL_DIFFERENTIATION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PIGMENT_CELL_DIFFERENTIATION","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PIGMENTATION","GOBP",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PINOCYTOSIS","GOBP",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS","GOBP",85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PLASMA_MEMBRANE_ORGANIZATION","GOBP",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PLASMINOGEN_ACTIVATION","GOBP",15,0.3482537133681253,0.8595684083689342,-1.1010815062683292,0.785303776683087,0.8663308002229702,-0.8069517400463583,0.8852982246159984,0.897467272377043,-0.7375493190083847
"GOBP_REGULATION_OF_PLATELET_ACTIVATION","GOBP",48,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"GOBP_REGULATION_OF_PLATELET_AGGREGATION","GOBP",28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_BETA_SIGNALING_PATHWAY","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY","GOBP",23,0.8442442442442443,0.889615931721195,-0.716336524676772,0.044732441471571904,0.41907991620737506,-1.3941078505733797,0.09781519342553618,0.6297434888468065,-1.3342017927452787
"GOBP_REGULATION_OF_PODOSOME_ASSEMBLY","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POLYAMINE_TRANSMEMBRANE_TRANSPORT","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POLYSACCHARIDE_METABOLIC_PROCESS","GOBP",45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POSITIVE_CHEMOTAXIS","GOBP",26,0.8442442442442443,0.889615931721195,-0.716336524676772,0.044732441471571904,0.41907991620737506,-1.3941078505733797,0.09781519342553618,0.6297434888468065,-1.3342017927452787
"GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POSTSYNAPSE_ORGANIZATION","GOBP",84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POSTSYNAPTIC_CYTOSOLIC_CALCIUM_ION_CONCENTRATION","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POSTSYNAPTIC_DENSITY_ORGANIZATION","GOBP",13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS","GOBP",56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL","GOBP",131,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY","GOBP",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POTASSIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POTASSIUM_ION_IMPORT","GOBP",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GOBP",67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT","GOBP",110,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION","GOBP",34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PRESYNAPTIC_CYTOSOLIC_CALCIUM_ION_CONCENTRATION","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PRO_B_CELL_DIFFERENTIATION","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE","GOBP",169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PRODUCTION_OF_SMALL_RNA_INVOLVED_IN_GENE_SILENCING_BY_RNA","GOBP",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH","GOBP",31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROSTAGLANDIN_SECRETION","GOBP",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROSTATIC_BUD_FORMATION","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS","GOBP",190,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","GOBP",138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_ACETYLATION","GOBP",83,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_ADP_RIBOSYLATION","GOBP",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION","GOBP",42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_AUTOUBIQUITINATION","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_BINDING","GOBP",197,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS","GOBP",395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS_IN_THE_VACUOLE","GOBP",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_COMPLEX_STABILITY","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","GOBP",401,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY","GOBP",125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_DEACETYLATION","GOBP",60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION","GOBP",91,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION","GOBP",88,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_DEUBIQUITINATION","GOBP",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM","GOBP",26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS","GOBP",31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_FOLDING","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_GLYCOSYLATION","GOBP",15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_IMPORT","GOBP",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_K48_LINKED_UBIQUITINATION","GOBP",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_K63_LINKED_UBIQUITINATION","GOBP",16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_KINASE_A_SIGNALING","GOBP",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_KINASE_ACTIVITY","GOBP",649,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_KINASE_C_ACTIVITY","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_KINASE_C_SIGNALING","GOBP",17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LIPIDATION","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION","GOBP",831,0.10922523961661341,0.8595684083689342,1.3133642376961767,0.8202341137123745,0.8895921453865826,-0.753040835162093,0.8286229705351774,0.895525205893249,-0.7183668272764054
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_CORTEX","GOBP",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY","GOBP",124,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE","GOBP",41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CENTROSOME","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMATIN","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION","GOBP",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CILIUM","GOBP",11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_ENDOSOME","GOBP",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE","GOBP",172,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEOLUS","GOBP",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS","GOBP",132,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOBP",103,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_SYNAPSE","GOBP",20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_MATURATION","GOBP",68,0.3482537133681253,0.8595684083689342,-1.1010815062683292,0.785303776683087,0.8663308002229702,-0.8069517400463583,0.8852982246159984,0.897467272377043,-0.7375493190083847
"GOBP_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL","GOBP",245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","GOBP",1539,0.10902996845425868,0.8595684083689342,1.3394587194270762,0.83,0.8903636363636364,0.6932001693575027,0.901065755077418,0.904130604584484,0.6280628546302423
"GOBP_REGULATION_OF_PROTEIN_MONOUBIQUITINATION","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_NEDDYLATION","GOBP",10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION","GOBP",1104,0.10902996845425868,0.8595684083689342,1.3394587194270762,0.83,0.8903636363636364,0.6932001693575027,0.901065755077418,0.904130604584484,0.6280628546302423
"GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION","GOBP",200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_POLYUBIQUITINATION","GOBP",30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_SECRETION","GOBP",252,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY","GOBP",376,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_STABILITY","GOBP",302,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_SUMOYLATION","GOBP",25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_TARGETING","GOBP",78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE","GOBP",34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY","GOBP",90,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY","GOBP",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_PROTEOLYSIS","GOBP",745,0.9497754185381788,0.9530059471726623,-0.5493117639507142,0.2546911237613325,0.41907991620737506,-1.2139478025018258,0.5972896440129449,0.8766191292727302,-0.8974158163544432
"GOBP_REGULATION_OF_PROTON_TRANSPORT","GOBP",24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_RAB_PROTEIN_SIGNAL_TRANSDUCTION","GOBP",7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION","GOBP",21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION","GOBP",188,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS","GOBP",48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","GOBP",147,0.7410678442392613,0.8595684083689342,-0.8430749508093441,0.21633825944170773,0.41907991620737506,-1.193940815222972,0.3895870736086176,0.6297434888468065,-1.0767207605458127
"GOBP_REGULATION_OF_RECEPTOR_BINDING","GOBP",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
